id,topic,content
10825,2,"['网暴', '侮辱性', '时刻', '外人', '粉丝', '工作室', '历史', '用词', '区分', '舆论', '言论', '投票']"
10845,0,"['文化', '兴趣', '现象', '影响力', '生态', '粉丝', '形象', '年龄', '人群', '饭圈', '娱乐业', '发挥作用', '偶像', '演艺', '产生', '时代', '媒体', '争议']"
10873,2,"['时刻', '开发票', '代言', '历史', '要点', '高端', '主页', '友军', '粉丝', '黑子', '维权', '别理', '饭圈', '耻辱']"
10884,2,"['索性', '基础', '读者', '文章', '指南', '粉丝', '厂家', '产品', '头条', '整理', '帖子', '系统', '篇文章']"
10897,0,"['圣母', '立场', '粉丝', '哥哥', '义务', '制高点']"
10904,1,"['客服', '开花', '粉丝', '耻辱', '工作量', '饭圈', '大团结', '权利', '电话', '机器', '无情', '福特', '态度', '声音', '花票', '无辜']"
10908,1,"['大众', '两码事', '风波', '错误', '粉丝', '因果关系', '家人', '新闻', '爷爷', '事件', '亲情', '人血瓜', '事情']"
10922,1,"['国家税收', '权利', '粉丝', '产品', '开发票', '企业', '公民', '力量', '贡献', '代言', '热度']"
10925,2,"['观众', '无法', '情怀', '独家', '面世', '法师', '作品', '公司', '粉丝', '新鲜感']"
11082,1,"['开发票', '事件', '时刻', '底层', '心虚', '历史', '员工', '代表', '粉丝']"
11188,1,"['幻想', '儿子', '泥塑', '私生', '深度', '理由', '利益', '追星', '粉丝', '性质', '本质']"
11204,0,"['粉丝', '校园', '冲量', '卵子', '交易', '资本']"
11216,0,"['粉丝', '厂家']"
11384,2,"['偶像', '时代', '热情', '流量', '贫民窟', '戏称', '方式', '事情', '批量生产', '粉丝', '男团', '经历', '过程', '流水线', '大众', '传统']"
11402,1,"['粉丝', '群友', '开发票', '饭圈', '耻辱', '消费水平']"
11480,0,"['粉丝', '心意', '气候']"
11491,1,"['艺人', '阶段', '角色', '知名度', '高位', '经典', '大众', '世界', '作品', '粉丝', '代言']"
11558,1,"['卖家', '网暴', '直播间', '老板', '事业', '朋友圈', '名号', '粉丝']"
11603,0,"['逻辑', '学生', '粉丝', '理智', '团体', '课本', '历史', '偶像', '花钱', '追星']"
11651,2,"['粉丝', '偶像', '社会', '数据', '一体', '环境', '媒介', '逻辑', '成因']"
11657,0,['粉丝']
11663,2,"['茅台', '专家', '新任', '关键', '董事长', '流程', '粉丝', '头条', '时代', '业界', '环闻', '班子', '关键人物', '官方', '岗位', '领导层', '人事', '主政']"
11732,0,"['绿色', '地区', '森林', '电视剧', '好友', '公益林', '荒漠化', '页面', '樟子松', '粉丝']"
11800,2,"['百威', '时刻', '粉丝', '理由', '历史', '事件', '啤酒']"
11826,1,"['偶像', '追星', '时代', '穷人', '富人', '道理', '粉丝', '精神', '意义', '余力', '资助']"
11918,2,"['啤酒', '代言', '客服', '百威', '粉丝', '网友', '投稿', '玫瑰花']"
11971,0,"['粉丝', '产品', '保健品', '国民', '意识', '金额', '学学']"
11993,2,"['粉丝', '偶像', '实力', '垃圾', '公司', '群体', '数量', '智商']"
12017,0,"['文化', '艺术', '粉丝', '同人', '传统', '深度', '作者', '消费市场']"
12178,1,"['队友', '粉丝', '天团', '事件', '火烧', '内涵', '小猪', '关系', '好歹', '亚洲', '校长', '笑料', '上台', '讲道理']"
12185,2,"['胖虎', '粉丝']"
12219,1,"['烤肉', '主食', '饮品', '小吃', '爸爸', '服务员', '肉类', '类型', '老师', '绿洲', '活儿', '粉丝', '油烟', '花样', '红榜']"
12270,0,"['规模', '群体', '潜力', '汇率', '粉丝', '关口', '世界银行', '韧性', '标准', '购买力', '理论', '平价', '质量', '官方', '头条', '环闻', '历史性']"
12328,1,"['原创', '文化', '粉丝', '政策', '成本', '投票', '广告', '咖啡', '媒体', '售价', '产品', '高质量', '文章', '刷屏', '风险', '读者', '鲜肉']"
12391,1,"['社会', '角度', '个人观点', '维权', '粉籍', '小角', '渠道', '粉圈', '封面', '事情', '粉丝', '现象']"
12519,2,"['普通人', '言论', '粉丝', '法官', '作风', '工作室']"
12634,2,"['干嘛', '粉丝', '老师', '程度', '股票', '想象', '涨停板', '股民', '亿万富翁']"
12662,2,"['南京', '书店', '餐饮店', '景区', '夫子庙', '粉丝', '小吃', '绿色', '市长', '书记', '市委书记', '苏康', '下馆子']"
12877,2,"['南京', '粉丝', '干部带头', '政府', '倡议', '领券', '锦鲤', '摇号', '运气', '餐厅', '社会', '硬核', '网友', '市长', '市民']"
12910,2,"['晚安', '体验', '老师', '大头', '数羊', '频道', '古法', '哥哥', '人工', '粉丝', '女生']"
12942,2,"['粉丝', '剧场', '芭是', '利润', '维系', '粘性', '成本', '堂姐', '盈亏', '边缘', '芭的', '节目', '花钱', '官博', '票力', '消费力', '线下', '成员']"
13043,0,"['日报', '充门面', '饼干', '肖战粉', '疫区', '偶像', '粉丝', '发文']"
13173,2,"['实盘', '单子', '大学', '初值', '数据', '信心', '黄金', '伦敦', '密歇根', '国际', '外汇', '粉丝', '行情', '宏志']"
13180,0,"['商家', '押金', '热线', '北京市消协', '内容', '状况', '证据', '粉丝', '门票', '演唱会', '意识', '比重', '投诉量', '法律法规']"
